100 2449
0 2 10
0 3 4
0 4 9
0 8 9
0 9 2
0 10 10
0 11 2
0 13 8
0 14 8
0 17 2
0 20 9
0 23 10
0 24 6
0 26 9
0 27 9
0 28 9
0 35 5
0 42 4
0 43 6
0 44 4
0 45 5
0 46 4
0 47 7
0 48 1
0 50 8
0 51 9
0 52 6
0 53 4
0 57 10
0 59 7
0 60 8
0 67 7
0 68 3
0 69 3
0 70 9
0 71 1
0 74 7
0 76 1
0 78 5
0 79 5
0 80 3
0 82 8
0 85 9
0 86 2
0 89 2
0 90 5
0 91 9
0 94 7
0 95 2
0 96 7
1 3 1
1 7 4
1 9 7
1 10 7
1 11 8
1 14 10
1 16 2
1 19 6
1 22 4
1 27 7
1 28 7
1 29 6
1 33 3
1 34 4
1 37 7
1 38 9
1 39 10
1 42 3
1 43 10
1 45 6
1 47 8
1 48 7
1 51 6
1 52 9
1 55 5
1 57 3
1 58 5
1 59 1
1 61 8
1 62 3
1 63 7
1 65 9
1 68 8
1 69 10
1 71 2
1 72 2
1 75 8
1 78 9
1 79 8
1 80 2
1 81 8
1 82 2
1 86 5
1 87 1
1 88 8
1 90 1
1 91 2
1 92 1
1 93 8
1 94 8
1 95 9
1 97 5
2 3 8
2 9 2
2 10 9
2 11 4
2 12 10
2 13 8
2 14 5
2 16 10
2 18 9
2 19 5
2 24 2
2 25 8
2 30 8
2 34 3
2 36 7
2 37 6
2 40 3
2 41 2
2 43 1
2 46 9
2 50 7
2 52 7
2 53 5
2 55 6
2 56 9
2 58 4
2 59 3
2 62 6
2 63 7
2 64 9
2 68 3
2 69 4
2 75 7
2 77 1
2 80 5
2 81 3
2 82 1
2 84 8
2 87 1
2 89 4
2 90 6
2 93 1
2 94 9
2 95 8
2 96 7
2 99 3
3 6 10
3 7 1
3 8 1
3 14 4
3 15 2
3 16 8
3 21 3
3 22 10
3 23 8
3 26 6
3 28 7
3 34 1
3 36 9
3 41 9
3 43 6
3 46 1
3 48 6
3 49 3
3 51 7
3 52 3
3 53 7
3 54 5
3 57 6
3 59 6
3 63 6
3 65 8
3 67 1
3 68 1
3 69 2
3 71 2
3 74 8
3 76 6
3 78 9
3 84 9
3 85 9
3 87 9
3 88 5
3 91 9
3 92 2
3 93 3
3 94 6
3 95 5
3 96 7
3 97 2
4 7 5
4 9 1
4 10 5
4 11 5
4 14 7
4 15 8
4 16 5
4 17 9
4 20 7
4 21 9
4 24 8
4 28 7
4 29 4
4 30 9
4 31 5
4 32 8
4 34 4
4 35 7
4 37 5
4 39 3
4 40 9
4 42 3
4 45 2
4 46 7
4 47 5
4 50 6
4 51 5
4 53 2
4 67 3
4 68 8
4 69 8
4 74 8
4 75 2
4 76 9
4 77 9
4 78 10
4 80 10
4 81 6
4 84 4
4 85 8
4 87 8
4 88 4
4 89 4
4 95 7
4 96 9
4 97 8
5 7 7
5 11 10
5 12 8
5 13 5
5 14 3
5 15 9
5 17 1
5 18 10
5 19 6
5 20 4
5 22 8
5 23 10
5 25 1
5 27 4
5 28 5
5 29 10
5 30 5
5 31 2
5 32 4
5 34 5
5 37 8
5 38 10
5 39 7
5 42 3
5 48 5
5 49 1
5 50 5
5 51 1
5 54 1
5 57 9
5 60 7
5 63 7
5 64 6
5 65 3
5 68 5
5 70 10
5 73 4
5 77 2
5 80 1
5 81 1
5 82 6
5 84 7
5 87 4
5 92 2
5 95 8
5 98 10
5 99 7
6 8 5
6 11 1
6 13 1
6 14 10
6 16 8
6 17 10
6 19 8
6 20 7
6 22 1
6 25 10
6 26 4
6 28 3
6 30 10
6 34 6
6 36 6
6 37 1
6 39 1
6 41 5
6 43 8
6 45 2
6 47 10
6 48 2
6 49 7
6 50 1
6 51 7
6 54 7
6 55 10
6 56 6
6 60 8
6 61 9
6 62 5
6 63 3
6 64 5
6 65 1
6 67 5
6 71 3
6 73 4
6 76 10
6 77 5
6 78 7
6 79 10
6 81 7
6 83 1
6 84 2
6 86 3
6 87 4
6 89 8
6 91 3
6 95 4
6 97 5
6 98 10
7 9 6
7 14 2
7 15 9
7 17 7
7 18 6
7 19 9
7 20 1
7 21 10
7 23 6
7 24 7
7 27 6
7 34 3
7 39 8
7 40 7
7 41 2
7 44 3
7 45 8
7 50 10
7 51 2
7 52 5
7 53 10
7 54 6
7 55 10
7 56 7
7 63 9
7 64 4
7 66 6
7 69 9
7 72 4
7 73 5
7 74 2
7 75 6
7 78 2
7 80 10
7 84 5
7 85 1
7 86 9
7 88 2
7 93 10
7 94 3
7 95 9
7 99 3
8 11 1
8 13 9
8 16 5
8 17 8
8 20 6
8 23 2
8 24 4
8 26 10
8 29 8
8 32 7
8 34 8
8 39 4
8 41 6
8 45 9
8 46 9
8 49 3
8 50 3
8 52 8
8 55 9
8 56 9
8 57 4
8 60 8
8 62 3
8 66 8
8 70 3
8 71 4
8 76 8
8 78 5
8 80 2
8 82 3
8 83 3
8 85 7
8 91 4
8 92 7
8 96 6
8 97 4
9 12 4
9 13 10
9 16 1
9 19 8
9 21 1
9 22 1
9 23 10
9 27 2
9 28 3
9 31 7
9 33 3
9 34 7
9 35 2
9 36 10
9 37 9
9 41 5
9 42 3
9 43 9
9 46 10
9 47 8
9 49 1
9 50 4
9 51 10
9 52 1
9 56 5
9 59 4
9 63 8
9 65 8
9 67 2
9 70 4
9 80 7
9 81 8
9 84 5
9 85 4
9 87 5
9 88 6
9 94 3
9 96 6
9 99 8
10 11 4
10 13 8
10 20 9
10 22 7
10 24 9
10 30 5
10 31 5
10 32 10
10 36 9
10 37 5
10 40 5
10 41 8
10 42 4
10 44 5
10 45 2
10 46 2
10 48 7
10 49 8
10 53 7
10 55 7
10 56 2
10 57 9
10 58 4
10 59 7
10 61 8
10 62 4
10 63 6
10 66 10
10 70 7
10 71 7
10 72 6
10 73 4
10 75 6
10 79 6
10 81 4
10 82 9
10 84 10
10 86 6
10 87 4
10 89 6
10 90 4
10 92 2
10 94 8
10 95 2
10 96 9
10 97 8
10 99 10
11 12 9
11 14 5
11 15 4
11 16 2
11 17 5
11 21 5
11 24 1
11 27 4
11 31 7
11 33 9
11 34 4
11 35 8
11 37 7
11 39 5
11 40 4
11 42 7
