250 496
0 1 8
0 2 3
0 3 8
0 5 3
0 7 10
0 9 3
0 10 3
0 11 9
0 13 5
0 14 6
0 17 9
0 18 4
0 19 3
0 20 9
0 22 8
0 23 2
0 25 1
0 28 8
0 32 5
0 36 10
0 38 10
0 44 2
0 45 8
0 47 5
0 50 7
0 57 9
0 60 10
0 61 5
0 68 10
0 71 7
0 77 5
0 78 8
0 86 1
0 88 9
0 91 4
0 98 9
0 103 2
0 107 10
0 110 10
0 116 6
0 118 6
0 122 6
0 130 8
0 139 9
0 140 5
0 201 1
0 234 9
0 240 9
0 241 6
1 3 3
1 4 6
1 6 6
1 7 7
1 8 6
1 15 10
1 17 2
1 21 2
1 27 6
1 28 7
1 43 6
1 45 7
1 49 6
1 65 5
1 67 3
1 75 8
1 78 4
1 97 10
1 99 9
1 106 8
1 112 3
1 125 10
1 133 1
1 137 9
1 140 6
1 141 7
1 143 8
1 156 1
1 175 5
1 177 6
1 189 1
1 195 2
1 196 2
1 199 1
1 204 4
1 210 7
1 212 3
1 232 5
2 4 8
2 16 5
2 41 5
2 57 2
2 79 7
2 102 6
2 166 6
2 175 2
2 192 5
2 198 6
2 238 9
3 8 9
3 217 8
4 5 1
4 6 6
4 12 5
4 13 3
4 15 9
4 16 1
4 18 4
4 19 1
4 23 5
4 30 6
4 36 2
4 40 10
4 53 3
4 62 5
4 64 3
4 69 4
4 74 3
4 80 1
4 83 8
4 86 2
4 87 5
4 93 7
4 99 9
4 102 7
4 114 3
4 117 5
4 154 4
4 157 3
4 174 2
4 180 8
4 192 5
4 194 7
4 200 9
4 207 5
4 218 9
4 227 7
4 249 5
5 11 4
5 12 8
5 22 4
5 24 3
5 30 9
5 33 4
5 34 1
5 39 3
5 42 1
5 62 10
5 67 9
5 135 9
6 9 4
6 29 5
6 31 8
6 37 8
6 50 3
6 55 3
6 60 10
6 82 7
6 101 6
6 105 5
6 110 10
6 115 4
6 133 10
6 143 10
6 148 1
6 154 9
6 161 5
6 182 4
6 191 4
6 203 10
6 231 5
6 248 9
7 59 10
7 129 10
8 10 3
8 14 5
8 20 10
8 26 6
8 117 6
8 121 7
9 104 2
9 124 8
9 149 9
9 234 4
10 32 9
10 51 6
10 58 9
10 85 4
10 95 6
10 105 10
10 108 5
10 121 7
10 206 6
10 233 1
11 61 6
11 225 3
11 231 3
11 245 4
12 37 3
12 84 1
12 205 7
13 26 8
13 40 1
13 116 7
13 128 3
14 123 3
14 134 3
14 149 7
15 46 10
15 47 6
15 73 4
15 118 4
15 127 3
15 131 5
15 142 8
15 188 8
15 216 10
15 235 1
15 237 7
16 21 10
16 33 8
16 43 6
16 49 9
16 68 9
16 96 9
16 113 1
16 146 5
16 148 6
16 151 1
16 167 10
16 202 9
16 219 7
16 246 3
17 38 9
17 46 5
17 52 5
17 147 10
18 51 1
18 54 4
18 111 6
18 161 2
18 167 2
19 24 6
19 153 8
19 172 6
19 236 3
20 165 9
20 168 2
21 25 4
21 34 3
21 75 10
22 42 9
22 76 10
22 151 10
22 152 10
22 157 2
22 158 8
22 174 10
24 27 3
24 35 7
24 72 10
24 134 7
25 35 6
25 135 8
25 190 2
25 193 7
25 221 1
26 29 4
26 64 6
26 65 8
26 84 8
26 91 7
26 109 1
26 128 3
26 171 9
27 44 6
27 56 1
27 90 10
27 92 8
27 106 5
27 119 7
27 164 5
27 168 8
28 180 10
29 31 2
29 224 7
29 245 2
30 98 1
30 199 1
31 39 5
31 55 7
31 56 10
31 181 3
31 242 2
32 81 5
32 82 9
32 155 3
33 48 7
33 59 2
33 97 8
33 127 10
33 188 10
33 232 1
34 58 3
34 204 10
35 71 2
35 89 3
35 163 1
35 171 2
37 41 4
37 53 8
37 81 6
37 108 8
37 130 3
39 70 2
39 203 9
39 222 2
39 248 1
41 93 2
41 144 6
41 183 10
41 213 10
42 223 9
43 48 2
43 80 8
43 214 1
43 229 1
44 136 6
45 63 10
45 69 7
47 217 5
47 243 6
48 131 3
49 52 10
49 54 3
49 76 6
49 95 3
49 115 8
49 125 4
49 138 6
49 153 4
49 186 1
49 196 3
50 66 3
50 72 6
50 88 6
50 145 1
52 63 7
52 162 3
53 124 7
54 119 4
54 166 3
55 185 4
55 208 4
56 138 2
56 169 5
57 70 8
57 85 6
57 94 2
57 146 5
58 227 6
59 96 6
61 66 3
61 120 5
61 132 6
61 189 9
61 238 4
62 87 10
62 113 9
62 114 1
62 136 4
62 193 10
62 214 1
64 79 3
64 172 6
65 132 7
65 152 10
65 209 9
65 222 5
66 73 8
66 74 2
66 184 9
67 107 4
67 219 2
68 160 9
68 243 2
69 77 3
69 89 6
69 100 3
69 101 3
69 142 2
69 162 4
69 170 2
69 181 3
69 187 9
69 244 3
70 129 3
71 183 8
72 100 6
72 191 6
74 83 9
74 173 6
74 220 7
75 112 3
75 126 10
75 137 3
75 177 7
77 145 9
77 211 9
78 164 2
78 179 10
78 187 7
78 190 2
79 90 3
79 92 9
79 247 6
80 205 5
82 104 9
82 126 4
82 160 2
82 165 6
82 194 8
82 239 5
84 123 5
85 122 5
85 226 2
86 241 5
87 94 4
87 109 4
87 158 6
89 185 6
91 229 8
91 237 3
92 103 7
92 163 5
92 210 2
93 207 4
93 220 4
94 111 9
94 197 3
96 173 5
96 202 2
99 225 2
101 141 2
104 139 8
107 216 2
112 120 8
113 249 9
119 228 7
126 144 9
130 150 7
131 170 2
135 159 6
137 150 6
137 156 4
139 169 1
139 176 7
140 147 7
141 201 3
143 178 9
143 182 9
145 198 6
146 159 4
147 155 1
150 244 4
154 246 4
156 184 5
158 176 4
160 212 5
160 230 5
170 233 2
171 179 5
172 178 8
172 209 5
175 239 1
176 208 5
177 186 4
178 200 8
181 224 7
182 197 8
188 247 7
190 218 4
191 195 6
193 213 10
199 236 2
201 211 3
201 228 8
203 223 3
203 235 2
205 206 7
205 230 8
206 215 10
209 215 5
209 221 9
217 240 3
221 226 6
226 242 6
